run_name,model,feature_set,seed,rmse,mae,mape_percent,smape_percent,r2,training_seconds,inference_seconds,inference_ms_per_sample,test_rows
LSTM_F0_seed42,LSTM,F0,42,2888.7296551342406,2193.803855900657,6.987438732039046,6.986228352705116,0.8118163955113926,535.4890938000171,2.2076883999980055,0.44953948279332223,4911
LSTM_F0_seed84,LSTM,F0,84,2956.9299937714422,2277.476455517588,7.301730680628409,7.281744943183473,0.8028258086742462,440.9699780999799,2.0857596999849193,0.42471181021887994,4911
LSTM_F0_seed168,LSTM,F0,168,2949.719719401328,2278.5439140927256,7.341757833460859,7.305538540639936,0.8037862282213664,911.2350319999969,2.0469193999888375,0.41680297291566637,4911
LSTM_F1_seed42,LSTM,F1,42,471.2864367023478,360.11854645502444,1.2279663007583528,1.2191488539457769,0.9949911518504433,446.7167933000019,1.0416947999619879,0.2121145998700851,4911
LSTM_F1_seed84,LSTM,F1,84,418.11035366691704,311.89146972357975,1.0315319925370567,1.0293537592744606,0.9960576985715941,387.3360271999845,1.0675558000220917,0.21738053350073136,4911
LSTM_F1_seed168,LSTM,F1,168,387.44417184099075,282.2773946561291,0.9286189923574295,0.9293954579691305,0.996614785067845,405.6537718999898,1.0559572000056505,0.2150187741815619,4911
LSTM_F2_seed42,LSTM,F2,42,337.8650112727324,251.51685470118102,0.8208712938985306,0.8207120032360298,0.9974257280664542,1038.9458071999834,1.5287329999846406,0.31128751781401764,4911
LSTM_F2_seed84,LSTM,F2,84,352.8581174395337,261.3139416774842,0.855866665650776,0.854803924835539,0.9971921868177888,1017.9284075999749,1.4821397000341676,0.3017999796445057,4911
LSTM_F2_seed168,LSTM,F2,168,333.94431024825855,249.29639616422318,0.8271846819495428,0.8256153950901072,0.9974851268751426,1022.5909471999621,1.486829300003592,0.30275489717035065,4911
LSTM_F3_seed42,LSTM,F3,42,351.71061070752484,258.275322219889,0.8350862426924576,0.8358116152179188,0.9972104193331686,1026.9363156000036,1.511933899950236,0.30786680919369497,4911
LSTM_F3_seed84,LSTM,F3,84,395.0210563878926,286.5214549448941,0.9091463339541457,0.9101382151190133,0.996481087440547,1046.4545230999938,1.490594700037036,0.3035216249311823,4911
LSTM_F3_seed168,LSTM,F3,168,326.18498462268093,242.73501490595092,0.7969318194540982,0.7959119461153675,0.9976006372430031,1030.9665837000357,1.4893900000024587,0.3032763184692443,4911
LSTM_F4_seed42,LSTM,F4,42,461.864656467152,334.98887024982184,1.0787436461351068,1.0811762484574652,0.9951894199858473,1345.036557400017,2.45294190000277,0.49947910812518226,4911
LSTM_F4_seed84,LSTM,F4,84,398.3616497718003,292.14287123294645,0.9299753156595644,0.9315923205509855,0.9964213186690322,1968.3225371000008,2.4052332999999635,0.4897644675218822,4911
LSTM_F4_seed168,LSTM,F4,168,336.2445551063295,248.34189709644167,0.8215843623722124,0.8198006248403333,0.9974503621132019,2338.731731500011,2.39966190000996,0.4886299938932926,4911
RF_F0_seed42,RF,F0,42,503.5252794392506,346.1822505598848,1.1033219401473147,1.103457216366833,0.9942824424927587,46.47611659998074,0.23098290001507849,0.047033781310339744,4911
RF_F0_seed84,RF,F0,84,503.37124913365335,346.20475772902535,1.1031051295582615,1.103254161533753,0.9942859400030717,46.27768489997834,0.296286600001622,0.060331215638693134,4911
RF_F0_seed168,RF,F0,168,503.7111325263129,346.5330689241728,1.1040832033342878,1.1042285837227632,0.9942782209695654,48.223770799988415,0.37726360000669956,0.0768201181035837,4911
